Status,Supplier,MYOB Purchase No,Order No,Item Number,Description,Original MYOB Qty,Packed Qty,Remaining Qty,Adjustment Qty,MYOB AUD Unit,Invoice USD Unit,Invoice AUD Unit,Price Difference %,Price Check,Source Rows,Line No,Note
OVERSUPPLY,Yuchang Textile Factory,00010530,10530,\CDL,LC 661 COMPLETE DOG LEADS 25 MM X 120 CM PERRICOOTA VET CLINIC,500.0,505.0,0.0,500.0,0.88,0.52,0.76471,-13.1%,PRICE OK,"129,131",25964,
OVERSUPPLY,Yuchang Textile Factory,00250702,250702,MTYC70736 B,MATTRESS TAPE MT YC-707 36 MM SOLID BLACK,5000.0,5800.0,0.0,5000.0,0.1,0.0575,0.08456,-15.4%,PRICE OK,"24,25",24794,
MATCHED,Yuchang Textile Factory,00250809,250809,HBTP22 CHEST,POLYESTER HBT TAPE 22 MM CHESTNUT R2011,10000.0,10000.0,0.0,10000.0,0.059,0.0322,0.04735,-19.7%,PRICE OK,26,25571,
OVERSUPPLY,Yuchang Textile Factory,00250812,250812,MT405083 SC,HANDLE TAPE MT4050 83 MM SHINY CHARCOAL (BLACK / FE0016),5000.0,5500.0,0.0,5000.0,0.262,0.153,0.225,-14.1%,PRICE OK,111,23778,
MATCHED,Yuchang Textile Factory,00250829,250829,HBTP22 BLACK,POLYESTER HBT TAPE 22 MM BLACK,10000.0,10000.0,0.0,10000.0,0.057,0.0322,0.04735,-16.9%,PRICE OK,27,25737,
MATCHED,Yuchang Textile Factory,00250905,250905,ZCC3BS,# 3 AUTO LOCK SLIDERS BLACK,3000.0,3000.0,0.0,3000.0,0.05,0.0291,0.04279,-14.4%,PRICE OK,112,24110,
MATCHED,Yuchang Textile Factory,00250923,250923,MTSB36 BLACK,MATTRESS TAPE 36 MM BLACK ON SPOOLS (124028),18000.0,18000.0,0.0,18000.0,0.06,0.035,0.05147,-14.2%,PRICE OK,113,24306,
OVERSUPPLY,Yuchang Textile Factory,00251003,251003,WEBAS 50B,50 MM BLACK WEBBING WITH UV,2000.0,2350.0,0.0,2000.0,0.22,0.12,0.17647,-19.8%,PRICE OK,"114,115",24465,
MATCHED,Yuchang Textile Factory,00251011,251011,MT36 BLACK,MATTRESS TAPE 36 MM SOLID BLACK,30000.0,30000.0,0.0,30000.0,0.05,0.0295,0.04338,-13.2%,PRICE OK,28,24479,
OVERSUPPLY,Yuchang Textile Factory,00251011,251011,WEBABC 100BRS,POLYESTER WEBBING 100 MM BLACK WITH RED T2016 STRIPE,1000.0,1450.0,0.0,1000.0,0.48,0.275,0.40441,-15.7%,PRICE OK,"116,117",25302,
MATCHED,Yuchang Textile Factory,00251022,251022,MT404336 STEEL,MATTRESS TAPE MT4043 36 MM STEEL X14756 / FE0012,30000.0,30000.0,0.0,30000.0,0.074,0.042,0.06176,-16.5%,PRICE OK,30,24537,
OVERSUPPLY,Yuchang Textile Factory,00251022,251022,MTCH50 W,HANDLE TAPE 50 MM WHITE,20000.0,22000.0,0.0,20000.0,0.15,0.0821,0.12074,-19.5%,PRICE OK,29,24536,
MATCHED,Yuchang Textile Factory,00251114,251114,MT404336 STEEL,MATTRESS TAPE MT4043 36 MM STEEL X14756 / FE0012,45000.0,30000.0,15000.0,30000.0,0.074,0.042,0.06176,-16.5%,PRICE OK,118,24824,
