Source Row,Order No,Item Number,Supplier Item,Size,Colour,Labelled As,Qty,Packages,Net Weight,Gross Weight
100,260407,ELKSR 25BE,Polyester 37 Gauge Knitted Elastic,25 mm,Beige - R 240,ELKSR - 25 MM,1200.0,1.0,13.1,13.7
101,260407,ELKSR 32W,Polyester 37 Gauge Knitted Elastic,32 mm,White,ELKSR - 32 MM,11000.0,11.0,149.6,156.2
102,260407,ELW 32B,PP + Poly Woven Elastic,32 mm,Black,ELW - 32 MM,2000.0,2.0,34.8,36.0
103,260407,HBTP16 BLACK SHF,Polyester Tape,16 mm,Black,HBTP - 16 MM SHF,32000.0,16.0,163.2,174.4
104,260407,MTF36 NC,Poly Mattress Tape,36 mm,Navy T1481 /           Charcoal T2055,MTF - 36 MM,16500.0,11.0,154.0,161.7
105,260407,WEBPP38B,UV Polyprop Webbing,38 mm,Black,WEBPP - 38 MM,6000.0,12.0,130.8,138.0
106,260409SM,LMT36 SH-SILVER LX,Poly Mattress Tape,36 mm,SH-Silver LX,LMT - 36 MM,14000.0,7.0,126.0,131.6
107,260410,SFW50FY,High Strength Poly Shadeflex Webbing,50 mm,Fluoro Yellow A5985,SFW - 50 MM,2000.0,5.0,104.5,107.5
108,260413,WEBEE 25B,High Strength Polyester Webbing,25 mm,Black,WEBEE - 25 MM,2000.0,2.0,16.4,17.4
109,260413,WEBEE 25B,High Strength Polyester Webbing,25 mm,Black,WEBEE - 25 MM,1500.0,1.0,12.3,12.9
110,260413,LMT402436 CH,Poly Mattress Tape,36 mm,Charcoal T 2055,LMT4024 - 36 MM,20000.0,10.0,205.0,214.0
111,250812,MT405083 SC,Poly Handle Tape,83 mm,Black / FE0016 (Shiny Charcoal),MT4050 - 83 MM,5500.0,11.0,159.5,166.1
112,250905,ZCC3BS,# 3 Auto Lock Sliders,# 3,Black,SLIDERS # 3,3000.0,1.0,5.5,5.8
113,250923,MTSB36 BLACK,Poly Mattress Tape,36 mm,Black,MTS - 36 MM,18000.0,10.0,190.0,199.0
114,251003,WEBAS 50B,PP Webbing with UV,50 mm,Black,WEBAS - 50 MM,2000.0,4.0,63.2,66.0
115,251003,WEBAS 50B,PP Webbing with UV,50 mm,Black,WEBAS - 50 MM,350.0,1.0,11.1,11.6
116,251011,WEBABC 100BRS,Polyester Webbing,100 mm,Black with Red Stripe,WEBABC - 100 MM,1250.0,5.0,71.0,74.0
117,251011,WEBABC 100BRS,Polyester Webbing,100 mm,Black with Red Stripe,WEBABC - 100 MM,200.0,1.0,11.4,11.9
118,251114,MT404336 STEEL,Poly Mattress Tape,36 mm,X14756 / FE0012,MT4043 - 36 MM STEEL,30000.0,20.0,286.0,302.0
119,251207,MT405083 SG,Poly Handle Tape,83 mm,T341 / FE0012 (Shiny Grey),MT4050 - 83 MM SHINY GREY,3000.0,6.0,85.80000000000001,89.4
120,251215,MT36 201 BEIGE,Poly Mattress Tape,36 mm,Beige - 201,MT - 36 MM,15000.0,10.0,126.0,132.0
121,260224,V100BH,Hook,100 mm,Black,HOOK - 100 MM,54.0,9.0,51.3,56.7
122,260224,V100BL,Loop,100 mm,Black,LOOP - 100 MM,120.0,20.0,116.0,128.0
123,260224,V50WH,Hook,50 mm,White,HOOK - 50 MM,100.0,10.0,52.0,58.0
124,260224,V50WL,Loop,50 mm,White,LOOP - 50 MM,100.0,10.0,52.0,58.0
125,260224,VA50BL,Loop,50 mm,Black,ADHESIVE LOOP - 50 MM,200.0,20.0,180.0,192.0
126,260113,SFW38B,High Strength Poly Shadeflex Webbing,38 mm,Dope - Dyed Black,SFW - 38 MM,5000.0,10.0,199.0,204.0
127,260129,ELW 50B,PP + Poly Woven Elastic,50 mm,Black,ELW - 50 MM,1000.0,2.0,24.8,26.0
128,260129,WEBS 13N,High Strength Polyester Webbing,13 mm,Natural,WEBS - 13 MM,18000.0,15.0,237.0,247.5
129,10530,\CDL,Complete Dog Lead,25 mm,Dark Blue T1876 Ground,PER*,250.0,1.0,14.2,14.7
131,10530,\CDL,Complete Dog Lead,25 mm,Dark Blue T1876 Ground,PER*,255.0,1.0,14.3,14.8
